"","Taxa","Batch","Date","Peak_Area","Peak_Area_SD","n"
"1","Sph","1","-36","5.01472561835094","3.20177689966303","36"
"2","Sph","1.5","-19","5.37415562849836","2.80890960241286","24"
"3","Sph","2","-2","4.02439125548833","2.69037699441789","46"
"4","Sph","3","31","3.65773269910258","2.87177843078793","33"
"5","Sph","4","65","2.57493043180033","1.95305250176443","35"
"6","Sph","4.5","82","2.91329643318708","1.61067250311666","21"
"7","Sph","5","99","2.43948602535432","1.36064306076487","36"
"8","Sph","5.5","114","4.23344595360999","2.64697370638319","22"
"9","Sph","6","129","2.43393929836946","1.88866804234528","34"
"10","Sph","7","167","3.00927517578045","2.70785706948574","33"
"11","Sph","7.5","187","3.83610307373855","2.99153020645107","21"
"12","Sph","8","207","5.13900668762358","2.87501753124173","38"
"13","Sph","9","257","5.76140811963014","3.16664105562182","41"
"14","Sph","9.5","279","3.73587408894265","2.27760481708786","22"
"15","Sph","10","295","8.78795426502511","2.41046642134714","40"
"16","Sph","10.5","311","5.12560766789151","2.60347335230583","22"
"17","Sph","11","326","4.38474200805073","1.96310584888441","44"
"18","Sph","11.5","340","4.48545939938402","3.01105618522491","22"
"19","Sph","12","354","6.31826591998156","2.17717775477895","56"
"20","Sph","12.5","371","4.11106862985639","1.90678053022151","22"
"21","Sph","13","388","6.61230041006472","2.41057363743222","74"
"22","Sph","13.5","409","3.62254537788723","2.02753367593212","21"
"23","Sph","14","430","6.65378108044148","2.50219095244141","65"
"24","Sph","14.5","449","4.64342777057176","1.84159438355777","21"
"25","Sph","15","468","5.16870230246677","3.13340477427761","39"
"26","Sph","15.5","479","4.52197966093329","1.63973323537698","21"
"27","Sph","16","490","5.07085977199281","2.42747814933985","63"
"28","Sph","17","511","7.99100320137914","2.67379604372431","33"
"29","Sph","18","534","6.32947014508631","2.73633601009469","42"
"30","Sph","19","559","7.99958409595132","2.04617321231723","30"
"31","Sph","21","601","5.89579449391705","2.81270370585428","21"
"32","Sph","22","619","6.96954406731089","2.64670930897123","24"
"33","Sph","23","637","7.18997911557339","3.04191637325361","28"
"34","Sph","24","652","5.10850684081073","2.63644316788353","23"
"35","Sph","25","666","7.02033928736362","1.93146631820958","35"
"36","Sph","26","681","8.55972255225712","1.65614678048085","24"
"37","Sph","27","697","6.45756476658213","2.50838450205692","31"
"38","Sph","28","714","7.60538408267898","1.73440857834639","23"
"39","Sph","29","732","8.04108899304748","1.81587237680318","22"
"40","Sph","30","749","6.97264086705469","1.80410852976706","27"
"41","Sph","31","757","6.43643338164361","2.31834154013955","25"
"42","Sph","33","772","6.39209565281985","2.7654889788058","26"
"43","Sph","35","787","8.42807937503301","1.86922742324965","24"
"44","Sph","36","795","7.36346626326344","3.04389651194166","23"
"45","Sph","37","804","8.09538038331955","2.50392765394329","26"
"46","Sph","38","814","7.15187761773888","2.62575630544934","27"
"47","Sph","39","823","7.98026801746702","2.54153185206202","27"
"48","Sph","40","831","8.2596677778705","1.6527935319029","25"
"49","Sph","41","839","7.52711517868084","2.05238219079142","32"
"50","Sph","42","847","5.80114114371813","3.30227450565072","26"
"51","Sph","43","856","5.50580251387435","2.8568081111551","27"
"52","Sph","44","864","6.20523577837872","2.78204663117021","31"
"53","Sph","45","872","6.12492776917042","1.86915465089873","36"
"54","Sph","47","891","4.56158042700718","2.31666864856579","35"
"55","Sph","48","900","6.56370192284375","3.10942635928419","27"
"56","Sph","49","908","7.05712276490991","2.82279944491748","27"
"57","Sph","50","917","6.74333950179639","2.72987142976099","30"
"58","Sph","51","929","6.42142820838616","2.97364029002198","28"
"59","Sph","52","940","6.55996095940286","2.89244083503494","32"
"60","Sph","53","952","7.18591193045975","2.94358469743591","36"
"61","Sph","54","964","6.95479894906636","3.45419793588836","33"
"62","Sph","55","975","7.48591666452117","2.74090472207423","25"
"63","Sph","56","987","6.15714221395014","2.34865002466604","32"
"64","Sph","57","1000","6.49601360572381","2.12674799479772","33"
"65","Sph","58","1013","7.08603277067056","2.5967677787567","27"
"66","Sph","59","1026","7.52447794988877","3.24611793693105","34"
"67","Sph","60","1039","8.14685703782264","2.07149251661458","41"
"68","Sph","61","1051","7.71204924527909","2.1794811712748","34"
"69","Sph","62","1066","5.76905044759726","2.33720797572896","31"
"70","Sph","63","1081","8.15930229138574","1.94584623365074","35"
"71","Sph","65","1109","7.52685991680057","1.67972532468865","29"
"72","Sph","66","1127","5.5602587146801","3.18445864545642","24"
"73","Sph","67","1147","8.12988123952659","2.17250045708046","29"
"74","Sph","68","1165","5.89248259122149","2.02356485211496","23"
"75","Sph","70","1195","4.47932293945186","2.24857404966678","22"
